Date,Symbol,apturnover,arturnover,assetturnover,croic,commontocap,currentratio,ebitdagrowth,fcffgrowth,fcfftointerestex,grossmargin,investedcapitalturnover,leverageratio,nnep,operatingmargin,profitmargin,roe_simple,stdebttocap,enterprisevalue,country,employees,security_delisted,sic,ipo_price,current_price,success
2020-09-23,GDRX,3.2617,9.4251,0.5931,-0.871316,0.516094,18.2426,-2.652167,-0.66769,-10.9408,0.946274,1.5712,5.1468,0.591536,-0.50067,-0.533181,-0.412763,0.0051,10776562640,United States of America,0.0,FALSE,7374,46.0,23.95,
2020-09-18,BIVI,,,,-220.263316,1.0,4.6219,-10.095731,-6.549758,-238.7538,,,-0.4943,-14.983853,,,-25.790313,0.0,229214241.5,United States of America,0.0,FALSE,2834,10.5,3.66,
2020-09-16,MTCR,,,,-12.197576,0.904998,25.341,-0.20055,,-29.831,,,1.2323,-0.174669,,,-0.417836,0.0,117443154,United States of America,0.0,FALSE,2834,14.39,0.4987,
2020-09-16,SNOW,34.3244,2.5009,0.1708,,1.0,5.4489,-0.445309,-0.676183,,0.590257,-5.8407,1.3015,-0.057258,-0.918736,-0.91057,-0.109208,0.0,13098962179,United States of America,0.0,FALSE,7372,245.0,263.43,
2020-09-15,OM,12.7113,9.6195,0.2029,-2.980626,0.917177,9.4274,-0.791927,-1.846606,-29.026,-0.261079,2.5185,1.3453,-0.240733,-2.352398,-2.433003,-0.369716,0.0,2147884081,United States of America,0.0,FALSE,3845,52.0,36.37,
2020-09-01,PRFX,,,,-2.683548,1.0,18.513,-3.124638,-27.918888,,,,1.7244,-0.551089,,,-0.243863,0.0,23458425.4,Israel,3.0,FALSE,2834,7.75,1.18,
2020-08-14,CVAC,2.6666,6.6037,0.0625,,1.050714,7.6997,-0.395497,8.119873,,0.276732,-0.1769,-1.5012,0.149707,-2.548988,-2.534736,0.20714,0.0,13051006213,Germany,484.0,FALSE,2834,44.0,18.38,
2020-08-07,CMPI,,,,,1.0,12.9652,-0.291692,,,,,1.1083,-0.170278,,,-0.294795,0.0,189533383.1,United States of America,19.0,FALSE,2836,14.9,2.07,
2020-08-06,OSH,,,4.5212,-75.4084,0.983459,2.1781,-0.772981,-0.814866,-15.1475,0.24706,1008.8743,1.8455,-1.198963,-0.103947,-0.215271,-0.913184,0.0,14311415265,United States of America,2300.0,FALSE,8000,42.5,17.09,
2020-07-31,VITL,9.6384,11.5696,1.8368,0.026086,0.991312,5.2966,1.203972,1.031083,2.2061,0.347807,5.1922,1.3391,-0.009544,0.057066,0.04146,0.062542,0.004048,736413867.4,United States of America,158.0,FALSE,2000,35.0,16.45,
