Date,Symbol,apturnover,arturnover,assetturnover,croic,commontocap,currentratio,ebitdagrowth,ebitdaqoqgrowth,efftaxrate,fcffgrowth,fcffqoqgrowth,fcfftointerestex,grossmargin,investedcapitalturnover,leverageratio,Itdebttocap,nnep,operatingmargin,profitmargin,roe_simple,stdebttocap,enterprisevalue,country,employees,security_delisted,sic,ipo_price,current_price
2020-10-27,LUXA,,,,,,,,,,,,,,,,,,,,,,,United States of America,3,FALSE,6770,11,9.79
2020-10-23,ATAC,,,0.8808,0.125796,0.6379,,-22.109939,-0.011977,,1.111795,1.122482,,,1.0047,1.4753,,0.796227,,-0.604555,-1.315807,0.133254,528641601.7,United States of America,350,FALSE,6770,,
2020-10-22,MCFE,4.1371,11.3738,0.5182,1.557184,-3.036123,0.3832,-0.208211,,,1.903361,,13.0718,0.698899,1.124,-6.2311,,0.113642,0.05265,-0.099449,0.043524,0.020119,10811325689,United States of America,6850,FALSE,7372,15.61405806,25.63
2020-10-22,BLSA,,,,,,,,,,,,,,,,,,,,,,,United States of America,2,FALSE,6770,10.28,9.78
2020-10-21,MSP,12.7168,29.8264,0.302,0.027736,1,3.199,1.235693,,0.263809,1.028141,,1.2432,0.71047,0.3421,1.2816,,0.127006,0.117521,0.043367,0.013325,0,3677487896,United States of America,1653,FALSE,7372,32,24.7
2020-10-21,HIGA,,,,,,,,,,,,,,,,,,,,,,,United States of America,4,FALSE,6770,10,9.79
2020-10-20,HZON,,,,,,,,,,,,,,,,,,,,,,,United States of America,,FALSE,6770,10.1,9.8
2020-10-16,TTCF,,,1.1966,-0.983138,0.892576,,3.632011,0.09779,-1.415946,,,-199.4231,,1.2464,1.2982,,0,,0.369836,0.299895,0.099673,809384034.8,United States of America,,FALSE,6770,24.08,12.21
2020-10-16,KRBP,,,,-17.422362,0.96044,7.3176,-4.219262,,,,,-4565.9788,,,1.1605,,-0.992537,,,-1.689846,0.03956,52428001.5,United States of America,13,FALSE,2836,11.8,1.19
2020-10-15,MNSO,2.6444,12.1571,1.1309,-4.148308,0.890574,2.8951,-9.602101,,,-1.940381,,,0.267943,-11.4811,2.5239,,-0.430941,0.044207,-0.157573,-0.214665,0,,China,3011,FALSE,5331,24.11444861,9.78
2020-10-15,ARRY,6.2437,8.1199,1.1049,-1.914492,-0.227028,1.2977,0.079252,,0.240492,-2.354646,,-31.3701,0.232394,-34.1437,-19.5256,,0.889212,0.109105,0.067693,-0.730207,0.037234,5570910960,United States of America,,FALSE,3990,29.5,10.17
2020-10-09,LCY,,,,,,,,,,,,,,,,,,,,,,,,,,,10,8.66
2020-10-09,IPOF,,,,,,,,,,,,,,,,,,,,,,,United States of America,,FALSE,6770,10.61,9.84
2020-10-09,SPRB,,,,,0.970917,16.4291,-1.242718,,,,,-60.8272,,,1.1431,,-0.117616,,,-0.197682,0.016595,413794508.3,United States of America,,FALSE,2834,18.14,2.54
2020-10-08,FUBO,,16.4965,0.3548,-1.501812,0.348847,0.6894,-42.2621,-0.465777,,-9.718544,-0.158225,-23.9547,1,0.5567,1.4508,,-8.248805,-2.203939,-2.752712,-0.945351,0.044259,3794275100,United States of America,,FALSE,7812,11,9.88
2020-10-07,PACE,,,,,,,,,,,,,,,,,,,,,,,United States of America,561,,6770,,
2020-10-02,VGAC,,,,,,,,,,,,,,,,,,,,,,,United States of America,666,FALSE,,11.1279,4.4
2020-10-02,IMNM,,,,-7.1005,0.988051,14.1192,-0.751156,,,,,-261.5974,,,1.1115,,-0.442694,,,-0.431419,0.008747,63919179.7,United States of America,21,FALSE,2834,15.66,8.99
2020-10-02,VYGG,,,,,,,,,,,,,,,,,,,,,,,Cayman Islands,3,FALSE,6770,10.2,9.8
2020-10-01,LXEH,12.0253,,0.4286,0.14316,0.902507,2.3536,-0.162806,,0,1.180923,,13.4409,0.283062,0.8165,1.4095,,0.112752,0.162336,0.210909,0.091396,0.097493,535383090,,491,FALSE,8200,10,6.34
2020-10-01,IGAC,,,,,,,,,,,,,,,,,,,,,,,United States of America,2,FALSE,6770,9.8,9.8001
2020-09-30,QELL,,,,,,,,,,,,,,,,,,,,,,,United States of America,,FALSE,6770,10.53,
2020-09-30,CD,1.0098,4.2894,0.1557,-0.424445,0.699247,4.1409,1.675315,,,0.464765,,-10.4438,0.400191,0.3122,1.8426,,-0.588468,0.015416,-0.154742,-0.029092,0.021317,17098963369,China,,FALSE,7370,14.5,4.53
2020-09-30,ASAN,3.3521,10.1221,0.3938,-1.745829,-0.034764,2.7268,-0.243829,,,-8.515498,,-10.7303,0.87339,2.5305,12.4659,,2.04316,-0.773409,-0.932627,16.55407,0,2180769250,United States of America,,FALSE,7372,27,50.57
2020-09-25,VIAO,,,,,,,,,,,,,,,,,,,,,,,,,,,12,8.0901
2020-09-25,AMST,,12.0203,0.0742,-7.532087,1,14.9157,-1.022223,0.303933,,,,-2.1301,1,-18.7438,1.2339,,-0.811035,-11.820706,-17.175564,-0.98732,0,85910730.4,United States of America,,FALSE,7372,4.95,0.8728
2020-09-24,PDAC,,,,,,,,,,,,,,,,,,,,,,,United States of America,,FALSE,6770,9.75,
2020-09-23,ACTC,,,,,,,,,,,,,,,,,,,,,,,United States of America,37,TRUE,2834,9.75,7.35
2020-09-23,GDRX,3.2617,9.4251,0.5931,-0.871316,0.516094,18.2426,-2.652167,,,-0.66769,,-10.9408,0.946274,1.5712,5.1468,,0.591536,-0.50067,-0.533181,-0.412763,0.0051,10776562640,United States of America,,FALSE,7374,46,23.95
2020-09-18,AHAC,,,,,,,,,,,,,,,,,,,,,,,United States of America,,FALSE,2836,9.7,5.32
2020-09-18,BIVI,,,,-220.263316,1,4.6219,-10.095731,-7.169919,,-6.549758,-15.07391,-238.7538,,,-0.4943,,-14.983853,,,-25.790313,0,229214241.5,United States of America,,FALSE,2834,10.5,3.66
2020-09-17,STWO,,,,,,,,,,,,,,,,,,,,,,,Cayman Islands,,TRUE,6770,9.9999,5.88
2020-09-17,OACB,,,,,,,,,,,,,,,,,,,,,,,United States of America,,FALSE,6770,9.75,9.88
2020-09-16,MTCR,,,,-12.197576,0.904998,25.341,-0.20055,,,,,-29.831,,,1.2323,,-0.174669,,,-0.417836,0,117443154,United States of America,,FALSE,2834,14.39,0.4987
2020-09-16,SNOW,34.3244,2.5009,0.1708,,1,5.4489,-0.445309,,,-0.676183,,,0.590257,-5.8407,1.3015,,-0.057258,-0.918736,-0.91057,-0.109208,0,13098962179,United States of America,,FALSE,7372,245,263.43
2020-09-15,OM,12.7113,9.6195,0.2029,-2.980626,0.917177,9.4274,-0.791927,,,-1.846606,,-29.026,-0.261079,2.5185,1.3453,,-0.240733,-2.352398,-2.433003,-0.369716,0,2147884081,United States of America,,FALSE,3845,52,36.37
2020-09-11,LEAP,,,,,,,,,,,,,,,,,,,,,,,United States of America,,FALSE,6770,11.51,9.84
2020-09-10,PIAI,,,,,,,,,,,,,,,,,,,,,,,United States of America,,FALSE,6770,9.51,9.85
2020-09-04,TWND,,,,,,,,,,,,,,,,,,,,,,,United States of America,2,FALSE,6770,9.8,9.82
2020-09-01,PRFX,,,,-2.683548,1,18.513,-3.124638,,,-27.918888,,,,,1.7244,,-0.551089,,,-0.243863,0,23458425.4,Israel,3,FALSE,2834,7.75,1.18
2020-08-28,GP,,,,,,,,,,,,,,,,,,,,,,3164469138,Canada,48,FALSE,3713,22,5.1
2020-08-26,FTOC,,,,,,,,,,,,,,,,,,,,,,,United States of America,3,FALSE,6770,9.7,
2020-08-21,FST,,,,,,,,,,,,,,,,,,,,,,,United States of America,5,FALSE,6770,9.75,10.2
2020-08-19,BFT,,,,,,,,,,,,,,,,,,,,,,,United States of America,3,FALSE,6770,9.71,
2020-08-18,NGA,,,,,,,,,,,,,,,,,,,,,,,United States of America,2,FALSE,6770,9.7,
2020-08-14,DMYD,,,,,,,,,,,,,,,,,,,,,,,United States of America,2,FALSE,6770,10,
2020-08-14,CVAC,2.6666,6.6037,0.0625,,1.050714,7.6997,-0.395497,,,8.119873,,,0.276732,-0.1769,-1.5012,,0.149707,-2.548988,-2.534736,0.20714,0,13051006213,Germany,484,FALSE,2834,44,18.38
2020-08-13,GAME,0.0853,,,,0.778274,0.6152,,,,,,,,,0.7382,,1.505024,,,-0.44935,0,43215173.4,Canada,,FALSE,7900,12.96,2.77
2020-08-07,ARYA,,,,,,,,,,,,,,,,,,,,,,,United States of America,72,FALSE,6770,10.5,
2020-08-07,CMPI,,,,,1,12.9652,-0.291692,,,,,,,,1.1083,,-0.170278,,,-0.294795,0,189533383.1,United States of America,19,FALSE,2836,14.9,2.07
2020-08-06,OSH,,,4.5212,-75.4084,0.983459,2.1781,-0.772981,,,-0.814866,,-15.1475,0.24706,1008.8743,1.8455,,-1.198963,-0.103947,-0.215271,-0.913184,0,14311415265,United States of America,2300,FALSE,8000,42.5,17.09
2020-08-05,BOWX,,,,,,,,,,,,,,,,,,,,,,,United States of America,2,FALSE,6770,10,8.16
2020-08-04,YAC,,,,,,,,,,,,,,,,,,,,,,,United States of America,2,FALSE,6770,9.95,
2020-07-31,ETAC,,,,,,,,,,,,,,,,,,,,,,,United States of America,2,FALSE,6770,9.8,9.87
2020-07-31,VITL,9.6384,11.5696,1.8368,0.026086,0.991312,5.2966,1.203972,,0.237687,1.031083,,2.2061,0.347807,5.1922,1.3391,,-0.009544,0.057066,0.04146,0.062542,0.004048,736413867.4,United States of America,158,FALSE,2000,35,16.45
2020-07-29,VERX,16.8719,5.0793,0.9143,,0.991417,1.3792,-2.335764,,,-1.753371,,,0.558574,-3.2682,7.2457,,-0.032749,-0.279604,-0.210687,-0.350075,0.007593,4272837350,United States of America,1100,FALSE,7372,25.56,13.5
2020-07-24,GRCY,,,0.0007,-1.044264,0.135931,,-101.487077,,,,,,,0.0008,1.1259,,,,-162.21635,-0.464717,0,84330192,China,4,FALSE,6770,9.7582,
2020-07-23,MEG,6.6859,4.313,0.7025,-0.950409,0.377861,1.2037,-1.502877,,,-0.617376,,-15.6704,0.343499,1.4406,8.4306,,0.242668,-0.070104,-0.176543,-0.422538,0.152872,1124055619,United States of America,1730,FALSE,8742,16.5,45.03
