Date,Symbol,apturnover,arturnover,assetturnover,croic,commontocap,currentratio,ebitdagrowth,ebitdaqoqgrowth,efftaxrate,fcffgrowth,fcfftointerestex,grossmargin,investedcapitalturnover,leverageratio,nnep,operatingmargin,profitmargin,roe_simple,stdebttocap,enterprisevalue,country,employees,security_delisted,sic,ipo_price,current_price,success
2020-12-03,FPAC,,,,,0.13974291752577314,9.430820000000004,-696.5921470869562,1.039494,,-1.2466948,30758.0677625,0.77782075,,,-53.114657506329166,,,-0.09477586516853943,-0.10440468041237114,,United States of America,3.0,FALSE,6770,10.3,9.87,
2020-12-03,KNTE,,,,,2.1279646897546884,12.343429368575615,-10.31122929220779,-20.545705624390248,,-2.3686295382830624,-141.47812352941182,-0.12411437647058796,,,-0.4595940818965512,,,-0.5596296953352758,-0.20762135064935058,426553814.2,United States of America,27.0,FALSE,2834,40.0,12.02,
2020-11-27,QS,,,,,0.995179,81.714,-34.680547,,,1.184595,29.2724,0.30277899999999996,,2.4592,-2.882674,,,-4.780889,0.0,20297671335,United States of America,4.0,FALSE,3690,24.8,15.31,
2020-11-24,VCVC,,,,,0.13974291752577314,9.430820000000004,-696.5921470869562,1.039494,,-1.2466948,30758.0677625,0.77782075,,,-53.114657506329166,,,-0.09477586516853943,-0.10440468041237114,,,3.0,TRUE,6770,10.3,9.647885620915034,
2020-11-24,SV,,,,,0.13974291752577314,9.430820000000004,-696.5921470869562,1.039494,,-1.2466948,30758.0677625,0.77782075,,,-53.114657506329166,,,-0.09477586516853943,-0.10440468041237114,,United States of America,0.0,FALSE,6770,10.0,9.99,
2020-11-20,OCA,,,,,0.13974291752577314,9.430820000000004,-696.5921470869562,1.039494,,-1.2466948,30758.0677625,0.77782075,,,-53.114657506329166,,,-0.09477586516853943,-0.10440468041237114,,United States of America,0.0,FALSE,6770,10.0,9.96,
2020-11-20,ARBG,,,,,0.13974291752577314,9.430820000000004,-696.5921470869562,1.039494,,-1.2466948,30758.0677625,0.77782075,,,-53.114657506329166,,,-0.09477586516853943,-0.10440468041237114,,United States of America,0.0,FALSE,6770,10.25,9.75,
2020-11-19,RTPZ,,,,,0.8685662631578946,4.575166666666667,0.5367848823529412,0.3707333333333334,,-0.3323567,-469.8917714285714,0.6934722857142857,,,-0.010964312499999998,,,0.06796763157894738,0.0,,United States of America,0.0,FALSE,6331,11.3,1.93,
2020-11-19,LNFA,,,,,0.13974291752577314,9.430820000000004,-696.5921470869562,1.039494,,-1.2466948,30758.0677625,0.77782075,,,-53.114657506329166,,,-0.09477586516853943,-0.10440468041237114,,United States of America,0.0,FALSE,6770,10.0,10.05,
2020-11-19,OLMA,,,,,2.1279646897546884,12.343429368575615,-10.31122929220779,-20.545705624390248,,-2.3686295382830624,-141.47812352941182,-0.12411437647058796,,,-0.4595940818965512,,,-0.5596296953352758,-0.20762135064935058,64774493.2,United States of America,0.0,FALSE,2834,45.0,6.15,
2020-11-17,ZNTE,,,,,0.13974291752577314,9.430820000000004,-696.5921470869562,1.039494,,-1.2466948,30758.0677625,0.77782075,,,-53.114657506329166,,,-0.09477586516853943,-0.10440468041237114,,,0.0,FALSE,6770,10.5,10.17,
2020-11-13,BWAC,,,,,0.13974291752577314,9.430820000000004,-696.5921470869562,1.039494,,-1.2466948,30758.0677625,0.77782075,,,-53.114657506329166,,,-0.09477586516853943,-0.10440468041237114,,United States of America,0.0,FALSE,6770,10.66,10.17,
2020-11-11,TRIT,,,,,0.8800072750000003,3.5778549999999982,-9.568353144736834,-0.4639329999999999,,-6.820708914285716,401.7126256410256,1.0479758765432101,,,-0.16365748148148165,,,-0.31917736363636384,0.014196924999999996,,United States of America,0.0,FALSE,7374,11.87,1.85,
2020-11-06,DBDR,,,,,0.35273200000000005,4.505188888888889,17.266656733333317,-0.8096082777777776,,0.7723095250000009,2.5309606060606042,0.8538733846153845,,,-1.866550294117647,,,0.18631091999999996,0.03784137254901962,,United States of America,3.0,FALSE,6199,9.83,7.49,
2020-10-30,SQZ,,11.1514,0.1095,,1.0,3.9128,-0.299391,-0.34244668750000007,,-2.0125720000000005,-1327.4615978723398,1.0,-0.4801,2.0641,-0.108177,-2.431565,-2.405991,-0.397181,0.0,637310412.6,United States of America,101.0,FALSE,2836,15.05,7.33,
2020-10-30,AVIR,,,0.1098,,1.0,2.7343,0.245357,-20.545705624390248,,37.074424,-141.47812352941182,1.0,-0.3195,1.5611,-0.007401,-0.226801,-0.225094,-0.019984,0.0,2606632228,United States of America,9.0,FALSE,2834,27.02,6.51,
2020-10-29,LESL,,38.1831,1.5003,0.617866,-0.377268,1.9381,0.32664,0.1257,0.223719,3.110782,3.0868,0.443185,6.1682,-1.7139,0.04821,0.155695,0.094298,-0.58207,0.014046,4944060280,United States of America,5081.0,FALSE,5990,20.6,20.68,
2020-10-28,CERE,,,0.0008,-1.742293,0.987181,12.343429368575615,-0.816808,-20.545705624390248,,-2.3686295382830624,-141.47812352941182,-0.12411437647058796,0.0009,1.2244,9.886033,,-679.205357,-0.395667,0.012819,1727427137,United States of America,3.0,FALSE,2834,10.1139,25.57,
2020-10-27,LUXA,,,,,0.13974291752577314,9.430820000000004,-696.5921470869562,1.039494,,-1.2466948,30758.0677625,0.77782075,,,-53.114657506329166,,,-0.09477586516853943,-0.10440468041237114,,United States of America,3.0,FALSE,6770,11.0,9.79,
2020-10-23,ATAC,,,0.8808,0.125796,0.6379,9.430820000000004,-22.109939,-0.011977,,1.111795,30758.0677625,0.77782075,1.0047,1.4753,0.796227,,-0.604555,-1.315807,0.133254,528641601.7,United States of America,350.0,FALSE,6770,10.549502331869885,9.647885620915034,
2020-10-22,MCFE,4.1371,11.3738,0.5182,1.557184,-3.036123,0.3832,-0.208211,0.0017761041666666643,,1.903361,13.0718,0.698899,1.124,-6.2311,0.113642,0.05265,-0.099449,0.043524,0.020119,10811325689,United States of America,6850.0,FALSE,7372,15.61405806,25.63,
2020-10-22,BLSA,,,,,0.13974291752577314,9.430820000000004,-696.5921470869562,1.039494,,-1.2466948,30758.0677625,0.77782075,,,-53.114657506329166,,,-0.09477586516853943,-0.10440468041237114,,United States of America,2.0,FALSE,6770,10.28,9.78,
2020-10-21,MSP,12.7168,29.8264,0.302,0.027736,1.0,3.199,1.235693,0.0017761041666666643,0.263809,1.028141,1.2432,0.71047,0.3421,1.2816,0.127006,0.117521,0.043367,0.013325,0.0,3677487896,United States of America,1653.0,FALSE,7372,32.0,24.7,
2020-10-21,HIGA,,,,,0.13974291752577314,9.430820000000004,-696.5921470869562,1.039494,,-1.2466948,30758.0677625,0.77782075,,,-53.114657506329166,,,-0.09477586516853943,-0.10440468041237114,,United States of America,4.0,FALSE,6770,10.0,9.79,
2020-10-20,HZON,,,,,0.13974291752577314,9.430820000000004,-696.5921470869562,1.039494,,-1.2466948,30758.0677625,0.77782075,,,-53.114657506329166,,,-0.09477586516853943,-0.10440468041237114,,United States of America,0.0,FALSE,6770,10.1,9.8,
2020-10-16,TTCF,,,1.1966,-0.983138,0.892576,9.430820000000004,3.632011,0.09779,-1.415946,-1.2466948,-199.4231,0.77782075,1.2464,1.2982,0.0,,0.369836,0.299895,0.099673,809384034.8,United States of America,0.0,FALSE,6770,24.08,12.21,
2020-10-16,KRBP,,,,-17.422362,0.96044,7.3176,-4.219262,-0.34244668750000007,,-2.0125720000000005,-4565.9788,0.8209063648648648,,1.1605,-0.992537,,,-1.689846,0.03956,52428001.5,United States of America,13.0,FALSE,2836,11.8,1.19,
2020-10-15,MNSO,2.6444,12.1571,1.1309,-4.148308,0.890574,2.8951,-9.602101,,,-1.940381,3.7643500000000003,0.267943,-11.4811,2.5239,-0.430941,0.044207,-0.157573,-0.214665,0.0,,China,3011.0,FALSE,5331,24.11444861,9.78,
2020-10-15,ARRY,6.2437,8.1199,1.1049,-1.914492,-0.227028,1.2977,0.079252,0.134274,0.240492,-2.354646,-31.3701,0.232394,-34.1437,-19.5256,0.889212,0.109105,0.067693,-0.730207,0.037234,5570910960,United States of America,0.0,FALSE,3990,29.5,10.17,
2020-10-09,IPOF,,,,,0.13974291752577314,9.430820000000004,-696.5921470869562,1.039494,,-1.2466948,30758.0677625,0.77782075,,,-53.114657506329166,,,-0.09477586516853943,-0.10440468041237114,,United States of America,0.0,FALSE,6770,10.61,9.84,
2020-10-09,SPRB,,,,,0.970917,16.4291,-1.242718,-20.545705624390248,,-2.3686295382830624,-60.8272,-0.12411437647058796,,1.1431,-0.117616,,,-0.197682,0.016595,413794508.3,United States of America,0.0,FALSE,2834,18.14,2.54,
2020-10-08,FUBO,,16.4965,0.3548,-1.501812,0.348847,0.6894,-42.2621,-0.465777,,-9.718544,-23.9547,1.0,0.5567,1.4508,-8.248805,-2.203939,-2.752712,-0.945351,0.044259,3794275100,United States of America,0.0,FALSE,7812,11.0,9.88,
2020-10-07,PACE,,,,,0.13974291752577314,9.430820000000004,-696.5921470869562,1.039494,,-1.2466948,30758.0677625,0.77782075,,,-53.114657506329166,,,-0.09477586516853943,-0.10440468041237114,,United States of America,561.0,,6770,10.549502331869885,9.647885620915034,
2020-10-02,IMNM,,,,-7.1005,0.988051,14.1192,-0.751156,-20.545705624390248,,-2.3686295382830624,-261.5974,-0.12411437647058796,,1.1115,-0.442694,,,-0.431419,0.008747,63919179.7,United States of America,21.0,FALSE,2834,15.66,8.99,
2020-10-02,VYGG,,,,,0.13974291752577314,9.430820000000004,-696.5921470869562,1.039494,,-1.2466948,30758.0677625,0.77782075,,,-53.114657506329166,,,-0.09477586516853943,-0.10440468041237114,,Cayman Islands,3.0,FALSE,6770,10.2,9.8,
2020-10-01,LXEH,12.0253,,0.4286,0.14316,0.902507,2.3536,-0.162806,-0.25882,0,1.180923,13.4409,0.283062,0.8165,1.4095,0.112752,0.162336,0.210909,0.091396,0.097493,535383090,,491.0,FALSE,8200,10.0,6.34,
2020-10-01,IGAC,,,,,0.13974291752577314,9.430820000000004,-696.5921470869562,1.039494,,-1.2466948,30758.0677625,0.77782075,,,-53.114657506329166,,,-0.09477586516853943,-0.10440468041237114,,United States of America,2.0,FALSE,6770,9.8,9.8001,
2020-09-30,QELL,,,,,0.13974291752577314,9.430820000000004,-696.5921470869562,1.039494,,-1.2466948,30758.0677625,0.77782075,,,-53.114657506329166,,,-0.09477586516853943,-0.10440468041237114,,United States of America,0.0,FALSE,6770,10.53,9.647885620915034,
2020-09-30,CD,1.0098,4.2894,0.1557,-0.424445,0.699247,4.1409,1.675315,-0.4786301538461538,,0.464765,-10.4438,0.400191,0.3122,1.8426,-0.588468,0.015416,-0.154742,-0.029092,0.021317,17098963369,China,0.0,FALSE,7370,14.5,4.53,
